dataset_id,paper_id,dataset_name,is_public,is_benchmark,scale,resolution,resolution_m,annotation_type,dataset_url
1,1,"Custom Ghaf tree dataset from Fujairah and Sharjah emirates, UAE",False,No,"2,770 training images (3,890 Ghaf instances), 680 validation images (1,020 instances), 885 test images (1,273 instances). Total study area: approximately 25 km²",2.5 cm per pixel ground sampling distance from 122m flight altitude,0.025,Instance masks|Bounding boxes,
2,2,Custom dataset from Quebec provincial government databases,False,No,"254,396 pixels",30m,30.0,Point annotations,
3,3,ISPRS Individual Tree Crown Segmentation Contest 2024 Dataset,True,Yes,"More than 1,100 high-resolution images with more than 600,000 ITC masks (7,267 train + 816 validate + 3,000 test images)",2-10 cm GSD (varies by study site),0.02,Instance masks,
4,4,"Custom Geiger Mode LiDAR dataset from Payette River, Idaho",False,No,"6,916 annotated trees (5,705 training, 1,211 validation) across 4 tiles, each covering approximately 457m x 457m","50 cm CHM, 50 points/m² LiDAR density, 12 cm measurement resolution",0.5,Instance masks|Polygon delineations,
5,5,EarthDial-Instruct,True,No,11.11M instruction pairs covering diverse tasks and modalities,"Multi-resolution: 0.5m (NAIP/high-res RGB), 10m (Sentinel-2), 30m (Landsat-8), variable for SAR and hyperspectral",0.5,Bounding boxes|Semantic segmentation masks|Instance masks|Point annotations|Polygon delineations,https://github.com/hiyamdebary/EarthDial
6,6,Quebec Mixed Temperate Forest Dataset (derived from Cloutier et al. 2024 dataset),True,No,"300 images containing 2,610 annotated trees (1,045 Acer rubrum across 247 images, 1,003 Betula papyrifera across 256 images, 562 Abies balsamea across 156 images)","1.81 to 2.02 cm ground sampling distance (GSD), images cropped to 1024 × 1024 pixels",0.0181,Bounding boxes,https://doi.org/10.5281/zenodo.8148479
7,7,Custom PRODES Deforestation Dataset - Three Brazilian Amazon Sites,True,No,"Three domains: RO (2550×5120 pixels), PA (1100×2600 pixels), MA (1700×1440 pixels). Deforestation pixels: RO 225,635 (3%), PA 82,970 (3%), MA 71,265 (3%)",30m (Landsat-8 OLI),30.0,Polygon delineations,http://terrabrasilis.dpi.inpe.br/map/deforestation
8,8,Custom high-resolution annotated forest images,,No,"45,023 total samples (36,018 training, 4,502 validation, 4,502 testing)",High-resolution UAV imagery (specific GSD not stated),,Bounding boxes,
9,9,Custom Langya Mountain forestry dataset,False,No,"759 images (609 training, 150 validation) covering 5 tree species plus bare land",0.05m spatial resolution,0.05,Semantic segmentation masks,
10,10,"GeoLangBind-2M (training dataset with 2,050,983 image-text pairs across 6 modalities)|Evaluated on m-NeonTree, m-bigearthnet, m-so2sat, m-forestnet, and others",,Yes,"2,050,983 image-text pairs for training; m-NeonTree evaluation: 270 train, 94 val, 93 test images",Variable across modalities: 120x120 to 400x400 pixels for different datasets; m-NeonTree: 400x400 pixels,120.0,Semantic segmentation masks|Instance masks,Code and datasets will be released (not yet available at time of publication)
