geo_id,paper_id,location,primary_biome,additional_biomes,acquisition_platform,sensors,fusion_strategy,primary_biome_clean,platform_clean
1,1,"Fujairah and Sharjah emirates, UAE, focusing on Kalba and Fujairah city regions",Urban,Urban|Agroforestry,UAV/Drone,RGB,,Urban,UAV/Drone
2,2,"Boreal forest of eastern Canada, province of Quebec",Boreal Forest,,Satellite,RGB|NIR|SWIR1|SWIR2,,Boreal Forest,Satellite
3,3,"Multiple sites across 9 countries: Canada, Malaysia, Panama, China (3 sites), America, Kenya, Norway, Germany, Australia (11 total study sites)",Mixed Forest,Temperate Forest|Tropical Forest|Boreal Forest|Urban|Savanna,UAV/Drone|Satellite|Aerial (manned aircraft),RGB,,Mixed Forest,UAV/Drone
4,4,"Payette River, near Crouch, Idaho, United States",Temperate Forest,,Aerial (manned aircraft),LiDAR,,Temperate Forest,Aerial
5,5,Global coverage - multiple datasets from diverse geographic locations,Other,Temperate Forest|Tropical Forest|Urban|Peri-Urban|Agroforestry|Wetland|Semi-Arid,Satellite|UAV/Drone|Aerial (manned aircraft),RGB|Multispectral|SAR|Hyperspectral|Thermal,Data fusion module with feature aggregation across channels using bilinear interpolation for multi-spectral inputs; iterative processing of 3-channel batches through ViT with AnyRes block for dimension reduction,Other,UAV/Drone
6,6,"Université de Montréal research station, Saint-Hippolyte, Quebec, Canada (45°59′17.34″ N, 74°0′20.75″ W)",Temperate Forest,,UAV/Drone,RGB,,Temperate Forest,UAV/Drone
7,7,"Three sites in Brazil: Rondônia (RO) at 09°36'51"" S - 10°18'35"" S, 62°56'41"" W - 64°20'51"" W; Pará (PA) at 03°08'21"" S - 03°26'16"" S, 50°34'04"" W - 51°16'12"" W; Maranhão (MA) at 04°44'52"" S - 05°12'48"" S, 043°37'58"" W - 044°01'23"" W",Tropical Forest,Tropical Forest,Satellite,Multispectral,Early fusion - bitemporal images concatenated (64×64×14 patches: two 7-band Landsat-8 images),Tropical Forest,Satellite
8,8,Not explicitly stated (East Asia & Pacific region based on Figure 1 context),Mixed Forest,,UAV/Drone,RGB,,Mixed Forest,UAV/Drone
9,9,"Langya Mountain, Chuzhou City, Anhui Province, northern China (118°17'40''E-118°18'00''E, 32°16'10''N-32°16'30''N)",Temperate Forest,,UAV/Drone,RGB,,Temperate Forest,UAV/Drone
10,10,"Global coverage across multiple datasets including France (Flair2), global Sentinel-2 coverage, USA (NEON Tree dataset in m-NeonTree), and diverse locations for evaluation benchmarks",Mixed Forest,Temperate Forest|Tropical Forest|Urban|Wetland|Mixed Forest,Satellite|Aerial (manned aircraft)|UAV/Drone,RGB|Multispectral|Hyperspectral|SAR|Elevation|Infrared,Single unified vision Transformer with wavelength-aware dynamic encoder to handle heterogeneous modalities; Language used as grounding signal for cross-modal alignment,Mixed Forest,UAV/Drone
11,11,"Shenzhen, Guangdong Province, China",Urban,,UAV/Drone,RGB|LiDAR,"Late fusion - SAM generates 2D segmentation masks from RGB, then masks projected to LiDAR point cloud for 3D segmentation and tree structural parameter calculation (height, crown width, crown area)",Urban,UAV/Drone
12,12,"Dry Chaco eco-region, Bolivia (upper left: -63.166° lon, -17.792° lat; lower right: -61.166° lon, -19.792° lat)",Tropical Forest,,Satellite,SAR|Multispectral,"Late fusion - Siamese architecture with separate streams for Sentinel-1 SAR (VV, VH polarizations) and Sentinel-2 NBR, decision fusion combines probability from each data stream in an AND condition",Tropical Forest,Satellite
13,13,"Gaoqiao Mangrove Reserve (Lianjiang City, Guangdong Province) and Shankou Mangrove Ecological Nature Reserve (Behai City, Guangxi Province), China",Mangrove,,Satellite,Multispectral,"Multi-channel fusion - RGB composite (NIR, R, G bands) concatenated with three spectral indices (NDVI, RVI, NDWI) through Data Concatenation Module (DCM)",Mangrove,Satellite
14,14,"Zurich, Switzerland and Shanghai, China",Urban,Urban|Temperate Forest,Aerial (manned aircraft)|Satellite,RGB|LiDAR|SAR|NIR,Cross-attention between modalities - features from primary and auxiliary modalities aligned through Cross-Modal Distillation Module (CDM) and fused via progressive decoder with AlignUnit and DecoderUnit,Urban,Satellite
15,15,Denmark: Multiple sites across Denmark; Rwanda: Nation-wide sites,Mixed Forest,Temperate Forest|Tropical Forest|Urban|Peri-Urban|Agroforestry|Savanna,Aerial (manned aircraft),RGB|NIR,,Mixed Forest,Aerial
16,16,"Amazon basin (Brazil, Venezuela, Colombia, Peru, Bolivia primarily)",Tropical Forest,,Satellite,RGB|Near Infrared,,Tropical Forest,Satellite
17,17,"France (nationwide coverage, Open-Canopy dataset regions)",Temperate Forest,,Satellite,Multispectral,,Temperate Forest,Satellite
18,18,"Kranzberg Forest Roof Experiment (KROOF), Bavaria, Germany (11°39'42"" E, 48°25'12"" N, 35 km northeast of Munich)",Temperate Forest,Mixed Forest,UAV/Drone,Multispectral,,Temperate Forest,UAV/Drone
19,19,"Trento dataset: Southern Trento, Italy (rural region); Houston 2013: University of Houston campus and adjacent urban regions, USA",Mixed Forest,Temperate Forest|Urban,Aerial (manned aircraft),Hyperspectral|LiDAR,"Dual-branch architecture with cross-modal feature fusion - HSI branch uses involution-based spectral-spatial extraction while LiDAR branch extracts structural features, then fused through concatenation and transformer-based integration",Mixed Forest,Aerial
20,20,"Multiple sites across UAE: Fujairah, Sharjah, Ajman (east Ajman, Al Zubair, Kalba, Dibba, Masafi)",Agroforestry,Agroforestry|Peri-Urban,Satellite,RGB|Multispectral,,Agroforestry,Satellite
21,21,"Southeastern Amazonas State, Brazil (approximately 12,500 km² covering coordinates shown in Figure 4: ~7°0'S to 7°30'S, 59°30'W to 60°30'W)",Tropical Forest,,Satellite,Multispectral|SAR,Three strategies compared: Early fusion - Optical and SAR data concatenated before encoder; Joint fusion - separate encoders with feature concatenation after encoder; Late fusion - separate encoder-decoder for each modality with concatenation before classifier,Tropical Forest,Satellite
22,22,"Global coverage across multiple continents. TalloS has worldwide distribution. FoMo-Bench includes datasets from Europe, North America, South America, Africa, Asia, and Oceania",Mixed Forest,Temperate Forest|Tropical Forest|Boreal Forest|Urban|Peri-Urban|Agroforestry|Wetland|Mangrove|Savanna|Semi-Arid,Satellite|Aerial (manned aircraft)|UAV/Drone,RGB|Multispectral|Hyperspectral|LiDAR|SAR,Multi-modal masked autoencoding with spectral embeddings - each spectral band tokenized independently with learnable spectral and positional embeddings summed element-wise,Mixed Forest,UAV/Drone
23,23,"Three sites in West Virginia, USA: Morgantown (Monongalia County), Wellsburg (Brooke County), and Moundsville (Marshall County)",Peri-Urban,,UAV/Drone,RGB,,Peri-Urban,UAV/Drone
24,24,"Mid-Air: Synthetic forest environments; LOBDM-Forest: Temperate forests and Masoala rainforest (Switzerland); Low-Viewpoint Forest: Southampton Common (Hampshire, UK)",Mixed Forest,Temperate Forest|Tropical Forest,UAV/Drone|Ground-based,RGB,,Mixed Forest,UAV/Drone
25,25,"Marche Region, Italy, specifically Ascoli Piceno province (42°51'17"" N, 13°34'31"" E)",Mixed Forest,Temperate Forest|Agroforestry,UAV/Drone|Ground-based,RGB,,Mixed Forest,UAV/Drone
