paper_id,title,authors,year,venue,publication_type,citation_key,source_file,limitations,citation_count
1,A Comparative Analysis of Deep Learning Methods for Ghaf Tree Detection and Segmentation from UAV-based Images,Hani Shanableh|Mohamed Barakat A. Gibril|Ahmed Mansour|Aditya Dixit|Rami Al-Ruzouq|Nezar Hammouri|Fouad Lamghari|Safa M. Ahmed|Ratiranjan Jena|Tilal Mohamed|Mohammed Abdulraheem Almarzouqi|Nedal Salem Alafayfeh|Simon Zerisenay Ghebremeskel,2025,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Conference,shanableh_comparative_2025,shanableh_comparative_2025.json,"Wind-induced motion blur during UAV data acquisition causes loss of structural detail in Ghaf tree canopy, making Acacia trees appear similar to Ghaf trees due to fluffy, clouded, rounded appearance with grouped branches. Image tiling into 512×512 pixel patches results in significant context loss for trees positioned at tile edges, leading to missed detections or misclassifications. Intense reflections under certain lighting conditions cause some trees to appear similarly bright to Ghaf trees, complicating species discrimination. Difficulty in acquiring large, diverse ground-truth datasets across vast and heterogeneous areas where these trees are found. Potential errors introduced during tree count augmentation through image interpretation of RGB data alone. Including ambiguous cases in training data can reinforce misclassifications, complicating accurate discrimination between similar tree species. Limited to single modality (RGB only) which may miss important structural or spectral information available from multispectral or LiDAR sensors.",1
2,Evaluating deep learning methods applied to Landsat time series subsequences to detect and classify boreal forest disturbances events: The challenge of partial and progressive disturbances,Pauline Perbet|Luc Guindon|Jean-François Côté|Martin Béland,2024,Remote Sensing of Environment,Journal,perbet_evaluating_2024,perbet_evaluating_2024.json,"The model struggles to classify partial disturbances with subtle spectral signatures at 30m resolution, such as partial windthrow and hemlock looper, often confusing them with healthy forest. The accuracy of dating disturbances is affected by cloud/shadow cover in the Landsat composites. The model cannot detect multiple disturbances within the same year (e.g., fire followed by salvage logging).",24
3,Fine-grained individual tree crown segmentation based on high-resolution images,Yinrui Wang|Xintong Dou|Xinlian Liang,2025,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences, Volume XLVIII-G-2025, ISPRS Geospatial Week 2025",Conference,wang_fine-grained_2025,wang_fine-grained_2025.json,"Authors acknowledge multiple limitations: (1) Generalization challenges - 'the generalization of the SOTA networks is required to be improved' with dramatic performance drops on unseen datasets (4.07% AP50 on Dataset 11); (2) Transferability issues - 'The low performance in Dataset 10 and 11 represent the improvement potential of the transferability'; (3) Strong dependency on data characteristics - resolution, image quality, forest type, and canopy density significantly impact performance; (4) SAM foundation model inadequacy - severe miss-segmentation and under-segmentation in zero-shot mode; (5) Training scheme sensitivity - excessive training epochs damage performance, requiring careful early-stopping; (6) Geographic bias - models trained predominantly on Northern Hemisphere data fail to generalize to Australian savanna woodland.",2
4,Instance Segmentation of LiDAR Data with Vision Transformer Model in Support Inundation Mapping under Forest Canopy Environment,Jian Yang|Lamiae El Mendili|Yasmin Khayer|Steven McArdle|Leila Hashemi Beni,2023,ISPRS Geospatial Week 2023,Conference,yang_instance_2023,yang_instance_2023.json,"Authors acknowledge several limitations: (1) The Mask2Former model requires large amounts of training data to achieve good performance, which may not be available or feasible for some regions or scenarios; (2) Data quality and variety is crucial to improve model robustness; (3) The model may benefit from incorporating auxiliary information such as multispectral imagery to enhance discriminative power; (4) Constrained availability and quality of crown samples, as well as dense forest canopies, curtail the full potential of Mask2Former-based ITC segmentation; (5) The lower detection rate (87%) compared to watershed baseline (100%) is attributed to the pre-processing step that removes non-tree objects, suggesting deep learning models may be more robust without pre-cleaning but requires further testing.",8
5,EarthDial: Turning Multi-sensory Earth Observations to Interactive Dialogues,Sagar Soni|Akshay Dudhane|Hiyam Debary|Mustansar Fiaz|Muhammad Akhtar Munir|Muhammad Sohail Danish|Paolo Fraccaro|Campbell D Watson|Levente J Klein|Fahad Shahbaz Khan|Salman Khan,2025,CVPR (Conference on Computer Vision and Pattern Recognition),Conference,soni_earthdial_2025,soni_earthdial_2025.json,"Authors acknowledge: (1) model is relatively lightweight (4B parameters) compared to larger VLMs but still requires significant computational resources (4x A100 80GB GPUs for training), (2) adaptive high-resolution processing limited to 40 tiles during inference which may constrain very high-resolution imagery processing, (3) data fusion module processes 3 channels at a time which may not be optimal for all multi-spectral configurations, (4) temporal sequence analysis limited to specific bi-temporal and multi-temporal formats, (5) vision encoder frozen after Stage 1 which may limit fine-grained visual adaptation to new domains, (6) evaluation focused on existing benchmarks without extensive cross-biome transfer testing",48
6,Parameter-Efficient Fine-Tuning for Individual Tree Crown Detection and Species Classification Using UAV-Acquired Imagery,Jiuyu Zhang|Fan Lei|Xijian Fan,2025,Remote Sensing,Journal,zhang_parameter-efficient_2025,zhang_parameter-efficient_2025.json,"Model trained on natural images (Grounding-DINO) shows poor zero-shot performance (AP50=2.4) on UAV remote sensing imagery, requiring fine-tuning for effective adaptation. Direct application struggles to accurately localize trees in UAV images with multiple species. Future research will focus on expanding the method to address a broader range of species present in images (currently limited to 3 species). Dataset characterized by relatively small number of image samples (300 images), which tests transferability to limited-data scenarios.",4
7,Assessing the Generalization Capacity of Convolutional Neural Networks and Vision Transformers for Deforestation Detection in Tropical Biomes,Pedro J. Soto Vega|Daliana Lobo Torres|Gustavo X. Andrade-Miranda|Gilson A. O. P. da Costa|Raul Queiroz Feitosa,2024,"ISPRS Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Conference,vega_assessing_2024,vega_assessing_2024.json,"Authors acknowledge that lower accuracy of transformer-based model in cross-domain scenarios may be influenced by various problems, such as overfitting. The study considers further investigation needed with additional architectures (transformer, convolutional and hybrid) and a wider range of domains and applications. Authors note the complexity of forested and deforested regions varies across domains (forest complexity lowest in PA and highest in MA, deforestation complexity opposite), affecting model transferability. Limited to three domains within Brazilian tropical biomes. Requires further research to confirm findings.",3
8,Sustainable Forestry: AI-Driven Forest Health Diagnostics using Swin Transformer,Shaik Rasheeda Begum|Vaibhav Mishra|Devmalaya Saha,2025,2025 International Conference on Advances in Modern Age Technologies for Health and Engineering Science (AMATHE),Conference,begum_sustainable_2025,begum_sustainable_2025.json,Authors acknowledge that model performance relies on the quality and diversity of training data. Environmental factors like variable lighting and dense canopy cover may impact detection accuracy. The study suggests that incorporating thermal and multispectral data could improve performance under challenging conditions. The model requires high-resolution data for accurate detection. Applicability is limited under low visibility or high canopy density conditions. The study also notes the need for real-time monitoring capabilities and predictive modeling to correlate tree health with fire risk indicators.,0
9,More appropriate DenseNetBL classifier for small sample tree species classification using UAV-based RGB imagery,Ni Wang|Tao Pu|Yali Zhang|Yuchan Liu|Zeyu Zhang,2023,Heliyon,Journal,wang_densenetbl_2023,wang_densenetbl_2023.json,Authors acknowledge: (1) Small sample size limits generalization - 'manually creating tree species dataset is challenging due to limited images and range'; (2) SLIC segmentation struggles with 'uneven tree crown sizes' and 'complex forest environment'; (3) Vision Transformer failed to converge in 30 epochs on small data; (4) Deep transformers exhibit 'underfitting on small sample datasets due to complex structure and multiple hyperparameters'; (5) Geographic limitation - only one study site with two typical forests; (6) Species imbalance - Osmanthus fragrans severely underrepresented (32 training samples) leading to poor classification (CA=0.057 for DenseNet33BL); (7) Need for 'semi-supervised algorithm with multiple classifiers' and 'multi-temporal high spatial resolution images' for future improvement.,11
10,DOFA-CLIP: Multimodal Vision–Language Foundation Models for Earth Observation,Zhitong Xiong|Yi Wang|Weikang Yu|Adam J Stewart|Jie Zhao|Nils Lehmann|Thomas Dujardin|Zhenghang Yuan|Pedram Ghamisi|Xiao Xiang Zhu,2025,arXiv/Preprint,Preprint,xiong_dofa-clip_2025,xiong_dofa-clip_2025.json,"1) Performance on multispectral 5-band inputs decreases compared to RGB due to significantly less multispectral training data in GeoLangBind-2M; 2) Zero-shot multi-label classification on complex datasets (m-bigearthnet) shows moderate performance (F1: 23.69%); 3) Fine-grained attribute classification tasks (roof smoothness) remain challenging (26.00% accuracy with ViT-L-384); 4) Weight merging ratios require manual linear search optimization rather than automatic determination; 5) Model requires large GPU memory (40-80GB) for training; 6) Current approach uses simple linear weight merging rather than more sophisticated merging methods; 7) Text descriptions for some modalities generated synthetically using Pixtral-12B, which may introduce bias or quality variations.",2
