performance_id,paper_id,model_id,primary_task,has_cnn_baseline,metric_name,metric_value,baseline_model,baseline_value,performance_gain,additional_metrics,multi_resolution_testing,additional_results,primary_task_clean,performance_gain_numeric,metric_value_numeric
1,1,1,Tree Crown Delineation/Segmentation,No,mAP50|F1-score,"Best model (Mask R-CNN-Swin Transformer) - Testing: 84.2% mAP50 and 88.3% F1-score for detection, 85.1% mAP50 and 88.6% F1-score for segmentation",,,,"Validation set - Detection mAP50: 76.0-82.0%, F1: 79.3-86.1%|Validation set - Segmentation mAP50: 76.4-82.6%, F1: 79.5-86.4%|Testing set - Detection mAP50: 80.0-84.2%, F1: 83.55-88.3%|Testing set - Segmentation mAP50: 82.2-85.1%, F1: 85.5-88.6%|Mask DINO-Swin achieved 84.1% mAP50 (detection), 84.8% mAP50 (segmentation) despite lower validation performance|Mask R-CNN-ViT-base: 83.8% mAP50, 86.4% F1 (detection)|Mask R-CNN-MViTv2-tiny: 80.0% mAP50, 83.55% F1 (detection)",,"Mask DINO showed interesting behavior: lower performance on validation data (76.0% mAP50) but competitive results on testing dataset (84.1% mAP50, 87.0% F1-score for detection), suggesting potential overfitting to validation set or better generalization to test distribution. All models demonstrated promising capabilities across diverse urban and agricultural landscapes despite classification challenges. The study demonstrates transformer-based architectures can be effectively applied to conservation monitoring tasks for ecologically significant tree species in arid desert environments.",Tree Crown Segmentation,,84.2
2,2,2,Forest Disturbance Detection,Yes,Overall Accuracy (OA),0.70 OA,TempCNN,0.72 OA,-0.02 OA,Partial Harvesting F1-score: 70% (Transformer) vs 75% (TempCNN),,,Disturbance Detection,2.0,70.0
3,3,3,Tree Crown Delineation/Segmentation,Yes,AP50|AP75,"40.98% AP50, 21.25% AP75 (HTC with CB-ResNet50)",Cascade Mask R-CNN (ResNet50),"34.50% AP50, 16.51% AP75","+6.48% AP50, +4.74% AP75","SAM (ViT): 8.36% AP50, 4.62% AP75|Mask DINO (ResNet50): 34.92% AP50, 16.92% AP75|HTC (ResNet50): 36.81% AP50, 17.46% AP75|HTC (CB-Swin-b): 40.32% AP50, 19.14% AP75","Model tested across multiple resolutions (2-10 cm GSD). Performance varies significantly by resolution and dataset: highest AP50 achieved in datasets with 2-5 cm resolution (Dataset 6: 65.40% AP50, Dataset 7: 64.65% AP50); lower resolution datasets (10 cm) showed reduced performance (Dataset 4: 20.22% AP50, Dataset 8: 36.03% AP50)","Dataset-specific performance reveals strong correlation between data characteristics and accuracy: Best performance on Dataset 6 and 7 (high resolution, good quality, sufficient light, low density, clear boundaries). Worst performance on Dataset 11 (Australia) with only 4.07% AP50, indicating severe domain shift. Training scheme matters: early-stop training at epoch 4 for CB-ResNet50 achieved 40.98% AP50, significantly better than full training at epoch 100 (31.11% AP50), demonstrating overfitting with excessive training.",Tree Crown Segmentation,6.48,40.98
4,4,4,Tree Crown Delineation/Segmentation,Yes,Rate of correct detection|Rate of correct segmentation,"87% detection rate, 64% segmentation rate",Watershed segmentation,"100% detection rate, 54% segmentation rate","+10% segmentation rate (0.64 vs 0.54), -13% detection rate (0.87 vs 1.00)",Number of correctly detected ITCs: 261 out of 300 (Mask2Former) vs 300 out of 300 (Watershed)|Number of correctly segmented ITCs: 167 (Mask2Former) vs 162 (Watershed)|IoU threshold: 0.5 for correct segmentation,,The study demonstrates successful application of Mask2Former to Geiger Mode LiDAR data for forestry analytics supporting flood risk mapping. The model shows particular promise in handling dense forest environments where traditional watershed segmentation struggles with over-segmentation and noise.,Tree Crown Segmentation,10.0,87.0
5,5,5,Other,No,Accuracy|mAP|ROUGE|F1-score|IoU,"EarthDial: 88.76% (AID), 92.42% (UCMerced), 68.82% (BigEarthNet MS), 96.37% (xBD temporal), 70.03% (fMoW temporal)","GPT-4o, InternVL-8B, GeoChat","GPT-4o: 74.73% (AID), 88.76% (UCMerced), 49% (BigEarthNet MS); GeoChat: 72.03% (AID), 84.43% (UCMerced), 20.35% (BigEarthNet MS)","+14.03% over GPT-4o on AID, +3.66% over GPT-4o on UCMerced, +19.82% over GPT-4o on BigEarthNet MS, +32.5% average improvement on multi-spectral classification vs GPT-4o","Region captioning: R-1: 73.38, R-L: 73.34, MT: 62.72|Grounding: mAP@0.5: 11.43-11.66, mAP@0.25: 31.76-34.29|VQA: 92.58% (Presence), 92.75% (Comparison), 94% (R/U), 92.70% (Average)|Image captioning: ROUGE-1: 45.84, ROUGE-L: 39.96, METEOR: 80.61|Change detection: R-1: 31.94, R-L: 30.66, MT: 55.83","Model handles multi-resolution inputs through adaptive high-resolution module with dynamic tile creation (1-12 tiles during training, up to 40 during inference). Tested across 0.5m (high-res RGB/NAIP), 10m (Sentinel-2), and 30m (Landsat-8) resolutions. Performance maintained across resolutions through adaptive patch sizing (1 to 6 patches).","EarthDial achieves: (1) 40.2% higher accuracy than GPT-4o on RGBI modality (TreeSatAI: 56.61% vs 16.73%), (2) superior performance on SAR imagery with higher mAP@0.5 even for multiple object detection (6.06 vs 0 for GPT-4o), (3) 36.16% improvement on methane plume detection (77.09% vs 40.93% for GPT-4o), (4) 34.09% improvement on urban heat island classification (56.77% vs 22.68%), (5) consistent gains across all 44 downstream evaluation datasets covering diverse tasks and modalities",Other,14.03,88.76
6,6,6,Individual Tree Detection/Counting,No,mAP|AP50|AP75,"32.4 mAP, 60.6 AP50, 30.5 AP75",,,,"Comparison with PEFT methods: +0.7 mAP, +0.2 AP50, +2.1 AP75 over Adapter|Comparison with YOLO models: YOLOv8 AP50=18.0, YOLOv10 AP50=22.6, YOLOv11 AP50=21.2, DETR AP50=57.5|Grounding-DINO zero-shot AP50=2.4|Full fine-tuning: 33.5 mAP, 60.7 AP50, 31.1 AP75 (100% params)",,"Proposed method significantly outperforms SOTA PEFT methods: SCT (+1.5 mAP), VPT (+0.6 mAP, +1.9 AP50, +0.7 AP75), achieving comparable performance to full fine-tuning (60.6 vs 60.7 AP50) with only 0.28% parameters (15× fewer than Adapter). Qualitative analysis shows superior reduction of false detections in complex scenarios with blurred species boundaries. Heatmap visualizations demonstrate precise species identification with minimal false detections compared to SCT and Adapter methods.",Tree Detection,,32.4
7,7,7,Deforestation Mapping,Yes,F1-score,"UNETR + ViT small: RO 66.4% F1 (in-domain), PA 80.3% F1 (in-domain), MA 75.9% F1 (in-domain)",DeepLabv3+ (ResNet),"Varies by domain: RO 64.9% F1 (in-domain), PA 73.3% F1 (in-domain), MA 68.7% F1 (in-domain)","UNETR outperforms DeepLabv3+ in in-domain scenarios: +1.5% F1 in RO, +7.0% F1 in PA, +7.2% F1 in MA","Precision: DeepLabv3+ RO 64.1%, PA 81.5%, MA 74.1%; UNETR RO 63.6%, PA 84.3%, MA 47.8%|Recall: DeepLabv3+ RO 65.8%, PA 66.8%, MA 57.8%; UNETR RO 72.4%, PA 77%, MA 41.7%",,Cross-domain F1 scores significantly lower than in-domain: DeepLabv3+ achieves 6.1-64.7% F1 in cross-domain scenarios; UNETR achieves 6.4-71.3% F1 in cross-domain scenarios. DeepLabv3+ shows better cross-domain robustness in 7 out of 9 cross-domain combinations.,Deforestation Mapping,3.0,66.4
8,8,8,Tree Health Assessment,Yes,Accuracy,95% Accuracy,"CNN, EfficientNet, Random Forest, Vision Transformer","CNN: 93% Accuracy, EfficientNet: 92% Accuracy, Random Forest: 90% Accuracy, Vision Transformer: 94% Accuracy","+2% vs CNN, +3% vs EfficientNet, +5% vs Random Forest, +1% vs Vision Transformer",Precision: 0.95|Recall: 0.92|F1-score: 0.93|AUC: 97%,,"Model achieved training accuracy of approximately 92% and validation accuracy of 91% by the 20th epoch. The system successfully identifies and labels tree conditions 93% of the time, enabling precise counting of dead and living trees for forest health diagnosis. Analysis reveals continued decline in forest health with decreasing healthy trees and increasing damaged trees.",Health Assessment,2.0,95.0
9,9,9,Tree Species Classification,Yes,Overall Accuracy (OA)|Kappa,"DenseNet33BL: OA=0.901, Kappa=0.892; Swin Transformer: OA=0.845, Kappa=0.805; Vision Transformer: OA=0.767, Kappa=0.708",DenseNet33 (without bottleneck layer),"OA=0.877, Kappa=0.845","DenseNet33BL vs DenseNet33: +2.4% OA, +4.7% Kappa",Class accuracies for 6 classes (5 tree species + bare land)|AID dataset: DenseNet33BL=0.889 vs Swin=0.785 vs ViT=0.433|NWPU dataset: DenseNet33BL=0.914 vs Swin=0.764 vs ViT=0.368,,"On large remote sensing benchmarks without pre-training: AID dataset - DenseNet169BL achieved highest OA=0.938, with all DenseNetBL variants outperforming their non-bottleneck counterparts. NWPU-RESISC45 dataset - DenseNet169BL achieved OA=0.946. Vision Transformer performed very poorly on both large datasets (0.433 AID, 0.368 NWPU), while Swin Transformer achieved moderate performance (0.785 AID, 0.764 NWPU).",Species Classification,33.0,84.5
10,10,10,Other,No,Top-1 Accuracy|mIoU,DOFA-CLIP-B (w/ MaKA) on m-NeonTree: 59.0% mIoU; DOFA-CLIP-L-384 on AID: 76.83% Top-1 Accuracy,"SigLIP, RemoteCLIP, SkyCLIP (CLIP-based baselines, not CNNs)",SigLIP on m-NeonTree: 52.3% mIoU; RemoteCLIP on AID: 34.40% Top-1 Accuracy,+6.7% mIoU on m-NeonTree (tree segmentation) vs SigLIP baseline; +42.43% Top-1 on AID vs RemoteCLIP,"Precision (on m-bigearthnet): 47.70%|Recall: 20.37%|F1: 23.69%|Recall@1, Recall@5, Recall@10 on cross-modal retrieval tasks",Tested with different input resolutions: 224x224 (base model) and 384x384 (large model). Higher resolution (384) consistently improves performance across all benchmarks.,"Achieves state-of-the-art zero-shot performance across 8 scene classification datasets (average 64.45% on ViT-L-384 vs 59.93% for best baseline SkyCLIP-50); Demonstrates cross-modal retrieval capabilities on RSICD, RSITMD, UCM-caption datasets; Successfully handles unseen modalities and variable spectral band configurations (tested on 3-band RGB up to 200+ band hyperspectral); Competitive performance on multispectral-only inputs (Sentinel-2 5-bands: 14.60% on m-forestnet using Landsat-8, an unseen sensor).",Other,6.7,59.0
